States/UTs,Number of Accidents,Persons Killed,People Injured,Impacting Vehicle Type,Year,
Meghalaya,10,7,12,Others,2020,
Mizoram,4,1,4,Others,2020,
Nagaland,0,0,2,Others,2020,
Odisha,706,376,757,Others,2020,
Punjab,165,163,24,Others,2020,
Rajasthan,1809,895,1661,Others,2020,
Sikkim,60,21,74,Others,2020,
Tamil Nadu,902,215,842,Others,2020,
Telangana,982,536,809,Others,2020,
Tripura,7,4,2,Others,2020,
Uttarakhand,112,125,164,Others,2020,
Uttar Pradesh,2402,1450,1709,Others,2020,
West Bengal,7,7,0,Others,2020,
Andaman & Nicobar Islands,1,0,0,Others,2020,
Chandigarh,0,0,0,Others,2020,
Dadra & Nagar Haveli,5,3,3,Others,2020,
Daman & Diu,0,0,0,Others,2020,
Delhi,259,120,234,Others,2020,
Lakshadweep,0,0,0,Others,2020,
Puducherry,0,0,0,Others,2020,
